scenario,seed,channel,defense,clean_accuracy,clean_macro_f1,asr,path
backdoor_multi_krum,42,blue,multi_krum,0.8266666666666667,0.8243774650226264,1.0,results\defense_blue_multi_krum\final_metrics.json
backdoor_multi_krum,123,blue,multi_krum,0.8266666666666667,0.8279377880184331,0.2,results\defense_blue_multi_krum_seed123\final_metrics.json
backdoor_multi_krum,2026,blue,multi_krum,0.8,0.8029876668730298,0.3333333333333333,results\defense_blue_multi_krum_seed2026\final_metrics.json
backdoor_multi_krum,42,full,multi_krum,0.76,0.7541505376344085,0.4,results\defense_full_multi_krum\final_metrics.json
backdoor_multi_krum,123,full,multi_krum,0.7866666666666666,0.7864099119271533,1.0,results\defense_full_multi_krum_seed123\final_metrics.json
backdoor_multi_krum,2026,full,multi_krum,0.84,0.8387970082074643,0.4,results\defense_full_multi_krum_seed2026\final_metrics.json
backdoor_no_defense,42,blue,fedavg,0.84,0.8394652979224071,1.0,results\fl_backdoor_rgb_resnet18_blue_p20_s10_r50\final_metrics.json
backdoor_no_defense,123,blue,fedavg,0.7733333333333333,0.7747086843861037,1.0,results\fl_backdoor_rgb_resnet18_blue_p20_s10_seed123\final_metrics.json
backdoor_no_defense,2026,blue,fedavg,0.88,0.8817678304886314,1.0,results\fl_backdoor_rgb_resnet18_blue_p20_s10_seed2026\final_metrics.json
backdoor_no_defense,42,full,fedavg,0.84,0.8401001112347052,1.0,results\fl_backdoor_rgb_resnet18_full_p20_s10_r50\final_metrics.json
backdoor_no_defense,123,full,fedavg,0.76,0.7583267973856209,1.0,results\fl_backdoor_rgb_resnet18_full_p20_s10_seed123\final_metrics.json
backdoor_no_defense,2026,full,fedavg,0.88,0.8801638878363016,1.0,results\fl_backdoor_rgb_resnet18_full_p20_s10_seed2026\final_metrics.json
fl_clean,42,none,none,0.8266666666666667,0.8263636363636364,,results\fl_clean_rgb_resnet18_iid_seed42\test_metrics.json
fl_clean,123,none,none,0.8133333333333334,0.814657038363935,,results\fl_clean_rgb_resnet18_iid_seed123\test_metrics.json
fl_clean,2026,none,none,0.84,0.8355110616734643,,results\fl_clean_rgb_resnet18_iid_seed2026\test_metrics.json
trigger_control_clean_model,42,blue,none,0.8266666666666667,0.8263636363636364,0.26666666666666666,results\trigger_control\clean_model_blue_trigger_control.json
trigger_control_clean_model,123,blue,none,0.8133333333333334,0.814657038363935,0.06666666666666667,results\trigger_control\clean_model_blue_trigger_control_seed123.json
trigger_control_clean_model,2026,blue,none,0.84,0.8355110616734643,0.06666666666666667,results\trigger_control\clean_model_blue_trigger_control_seed2026.json
trigger_control_clean_model,42,full,none,0.8266666666666667,0.8263636363636364,0.26666666666666666,results\trigger_control\clean_model_full_trigger_control.json
trigger_control_clean_model,123,full,none,0.8133333333333334,0.814657038363935,0.06666666666666667,results\trigger_control\clean_model_full_trigger_control_seed123.json
trigger_control_clean_model,2026,full,none,0.84,0.8355110616734643,0.13333333333333333,results\trigger_control\clean_model_full_trigger_control_seed2026.json
trigger_control_clean_model,42,green,none,0.8266666666666667,0.8263636363636364,0.26666666666666666,results\trigger_control\clean_model_green_trigger_control.json
trigger_control_clean_model,42,red,none,0.8266666666666667,0.8263636363636364,0.26666666666666666,results\trigger_control\clean_model_red_trigger_control.json
