sample_id,session_id,label,api_path,net_path,fused_path,fusion_mode,size_each,fused_width,fused_height,normalized
AgentTesla::1,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_1_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/1/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__1__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
AgentTesla::10,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_10_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/10/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__10__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
AgentTesla::100,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_100_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/100/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__100__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
AgentTesla::101,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_101_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/101/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__101__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
AgentTesla::102,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_102_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/102/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__102__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
AgentTesla::103,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_103_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/103/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__103__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
AgentTesla::104,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_104_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/104/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__104__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
AgentTesla::105,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_105_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/105/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__105__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
AgentTesla::106,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_106_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/106/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__106__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
AgentTesla::107,dump_largest_session,AgentTesla,dataset_api_call_sequences/AgentTesla/AgentTesla_107_APIxTIME_16x16.png,dataset_network_packets/images/AgentTesla/107/dump_largest_session.png,dataset_rgb_stack_combined/images/AgentTesla/AgentTesla__107__sess-dump_largest_session_rgb_stack.png,rgb_stack,128,128,128,1
