scenario,variant,channel,defense,n_seeds,seeds,clean_acc_mean,clean_acc_std,macro_f1_mean,macro_f1_std,asr_mean,asr_std,asr_pooled,asr_pooled_rate,per_seed_clean_acc,per_seed_macro_f1,per_seed_asr,asr_range_ge_0_5
backbone_sel,opacity_blend-mobilenet_v2,none,none,1,42,0.6933,,0.6903,,,,,,0.6933,0.6903,,False
backbone_sel,opacity_blend-resnet18,none,none,1,42,0.7733,,0.773,,,,,,0.7733,0.7730,,False
backbone_sel,opacity_blend-small_cnn,none,none,1,42,0.5333,,0.5298,,,,,,0.5333,0.5298,,False
backbone_sel,rgb_stack-mobilenet_v2,none,none,1,42,0.72,,0.72,,,,,,0.7200,0.7200,,False
backbone_sel,rgb_stack-resnet18,none,none,1,42,0.7867,,0.7884,,,,,,0.7867,0.7884,,False
backbone_sel,rgb_stack-small_cnn,none,none,1,42,0.52,,0.5144,,,,,,0.5200,0.5144,,False
clean_fl,-,none,none,5,7 42 99 123 2026,0.808,0.030699267092228748,0.8090399999999999,0.02643667906526839,,,,,"0.7600, 0.8267, 0.8000, 0.8133, 0.8400","0.7679, 0.8264, 0.8007, 0.8147, 0.8355",,False
clean_fl,r50,none,none,1,42,0.7867,,0.7869,,,,,,0.7867,0.7869,,False
trigger_control,at2fb,red,none,3,42 123 2026,0.8266666666666667,0.013350031210949756,0.8255333333333333,0.010427048160113857,0.13333333333333333,0.11547005383792516,6/45,0.13333333333333333,"0.8267, 0.8133, 0.8400","0.8264, 0.8147, 0.8355","4/15, 1/15, 1/15",False
trigger_control,at2fb,green,none,3,42 123 2026,0.8266666666666667,0.013350031210949756,0.8255333333333333,0.010427048160113857,0.13333333333333333,0.11547005383792516,6/45,0.13333333333333333,"0.8267, 0.8133, 0.8400","0.8264, 0.8147, 0.8355","4/15, 1/15, 1/15",False
trigger_control,at2fb,blue,none,5,7 42 99 123 2026,0.808,0.030699267092228748,0.8090399999999999,0.02643667906526839,0.13333333333333333,0.08164965809277261,10/75,0.13333333333333333,"0.7600, 0.8267, 0.8000, 0.8133, 0.8400","0.7679, 0.8264, 0.8007, 0.8147, 0.8355","2/15, 4/15, 2/15, 1/15, 1/15",False
trigger_control,at2fb,full,none,5,7 42 99 123 2026,0.808,0.030699267092228748,0.8090399999999999,0.02643667906526839,0.14666666666666667,0.07302967433402215,11/75,0.14666666666666667,"0.7600, 0.8267, 0.8000, 0.8133, 0.8400","0.7679, 0.8264, 0.8007, 0.8147, 0.8355","2/15, 4/15, 2/15, 1/15, 2/15",False
trigger_control,at2fb-r50,red,none,1,42,0.7867,,0.7869,,0.4,,6/15,0.4,0.7867,0.7869,6/15,False
trigger_control,at2fb-r50,green,none,1,42,0.7867,,0.7869,,0.4,,6/15,0.4,0.7867,0.7869,6/15,False
trigger_control,at2fb-r50,blue,none,1,42,0.7867,,0.7869,,0.4,,6/15,0.4,0.7867,0.7869,6/15,False
trigger_control,at2fb-r50,full,none,1,42,0.7867,,0.7869,,0.4,,6/15,0.4,0.7867,0.7869,6/15,False
backdoor_fedavg,at2fb,red,none,3,42 123 2026,0.8310999999999998,0.03845152792802907,0.8313333333333333,0.03902695649590592,0.17777777777777778,0.13877773329774218,8/45,0.17777777777777778,"0.8533, 0.7867, 0.8533","0.8524, 0.7863, 0.8553","5/15, 1/15, 2/15",False
backdoor_fedavg,at2fb,green,none,3,42 123 2026,0.8311000000000001,0.02774220611270843,0.8328000000000001,0.028078639568184183,0.22222222222222224,0.10183501544346311,10/45,0.2222222222222222,"0.8400, 0.8000, 0.8533","0.8419, 0.8013, 0.8552","5/15, 2/15, 3/15",False
backdoor_fedavg,at2fb,blue,none,5,7 42 99 123 2026,0.8346600000000001,0.03956037158571694,0.8353200000000001,0.03946494647152076,0.8933333333333333,0.1534781924429512,67/75,0.8933333333333333,"0.8267, 0.8400, 0.8533, 0.7733, 0.8800","0.8275, 0.8395, 0.8531, 0.7747, 0.8818","12/15, 15/15, 10/15, 15/15, 15/15",False
backdoor_fedavg,at2fb,full,none,5,7 42 99 123 2026,0.8240000000000001,0.04361702649195609,0.8240400000000001,0.04429190670991711,0.9466666666666667,0.11925695879998881,71/75,0.9466666666666667,"0.8133, 0.8400, 0.8267, 0.7600, 0.8800","0.8140, 0.8401, 0.8276, 0.7583, 0.8802","15/15, 15/15, 11/15, 15/15, 15/15",False
backdoor_fedavg,at2fb-p10,red,none,1,42,0.8267,,0.8261,,0.3333333333333333,,5/15,0.3333333333333333,0.8267,0.8261,5/15,False
backdoor_fedavg,at2fb-p30-s12,red,none,1,42,0.8133,,0.8103,,0.3333333333333333,,5/15,0.3333333333333333,0.8133,0.8103,5/15,False
backdoor_fedavg,at2fb-p30-s12,full,none,1,42,0.84,,0.8403,,1.0,,15/15,1.0,0.8400,0.8403,15/15,False
backdoor_defense,at2fb,blue,clipping,3,42 123 2026,0.8399666666666666,0.023094010767584987,0.8411666666666667,0.022419262551059346,0.9777777777777779,0.03849001794597504,44/45,0.9777777777777777,"0.8533, 0.8133, 0.8533","0.8550, 0.8153, 0.8532","15/15, 15/15, 14/15",False
backdoor_defense,at2fb,blue,median,3,42 123 2026,0.8089000000000001,0.02035976424224998,0.8087,0.019460986614249595,0.9333333333333332,0.11547005383792512,42/45,0.9333333333333333,"0.8133, 0.7867, 0.8267","0.8120, 0.7878, 0.8263","15/15, 15/15, 12/15",False
backdoor_defense,at2fb,blue,trimmed_mean,3,42 123 2026,0.8177666666666666,0.04074129763929141,0.8168333333333333,0.0380189864848254,1.0,0.0,45/45,1.0,"0.8267, 0.7733, 0.8533","0.8244, 0.7756, 0.8505","15/15, 15/15, 15/15",False
backdoor_defense,at2fb,blue,multikrum,5,7 42 99 123 2026,0.81068,0.014624192285387905,0.8107800000000001,0.01431369973137622,0.5333333333333334,0.43204937989385733,40/75,0.5333333333333333,"0.8000, 0.8267, 0.8000, 0.8267, 0.8000","0.8022, 0.8244, 0.7964, 0.8279, 0.8030","15/15, 15/15, 2/15, 3/15, 5/15",True
backdoor_defense,at2fb,full,clipping,3,42 123 2026,0.8266333333333332,0.046188021535170036,0.8271666666666665,0.04487363739806852,1.0,0.0,45/45,1.0,"0.8533, 0.7733, 0.8533","0.8550, 0.7754, 0.8511","15/15, 15/15, 15/15",False
backdoor_defense,at2fb,full,median,3,42 123 2026,0.8355666666666667,0.046807727282291066,0.8345666666666666,0.04789053490339541,1.0,0.0,45/45,1.0,"0.8400, 0.7867, 0.8800","0.8388, 0.7847, 0.8802","15/15, 15/15, 15/15",False
backdoor_defense,at2fb,full,trimmed_mean,3,42 123 2026,0.8266666666666668,0.03530188852360923,0.8268000000000001,0.03520042613378426,1.0,0.0,45/45,1.0,"0.8133, 0.8000, 0.8667","0.8145, 0.7994, 0.8665","15/15, 15/15, 15/15",False
backdoor_defense,at2fb,full,multikrum,5,7 42 99 123 2026,0.7973399999999999,0.02890290642824696,0.7958999999999999,0.030483602149352366,0.76,0.3286335345030996,57/75,0.76,"0.8000, 0.7600, 0.8000, 0.7867, 0.8400","0.8026, 0.7542, 0.7975, 0.7864, 0.8388","15/15, 6/15, 15/15, 15/15, 6/15",True
